title,location,company,salary,experience,description,keywords,trending,sponsored
Lead Software engineering,Bengaluru,Fidelity Investments,Not disclosed,6-10 Yrs," The Purpose of This Role Being part of the Client Frameworks Engineering team, this per...",Cloud computingAutomationActive directoryScrumOracleInformation technologyTechnical supportAnalytics,0,1
Lead - Software Engineering,Chennai,Fidelity Investments,Not disclosed,6-10 Yrs," The Purpose of This Role As a Lead DEVOPS, you will be working with the product develop...",Computer scienceCloud computingLinux system administrationPrototypeLead SoftwareArtificial IntelligenceInformation technologyMonitoring,0,1
Backup Administrator,Pune,Sakon,Not disclosed,4-8 Yrs," We are one of the world s top SaaS companies in our market, and a leader in managing en...",SCSIVMwareSANCloud computingISCSIDisaster recoveryTroubleshootingTechnical support,0,0
L2  -  AWS & Azure Cloud Infrastructure,"Gurgaon, haryana",Capsag Consulting Services Pvt Ltd,Not disclosed,1-3 Yrs," L2 - AWS & Azure Cloud Infrastructure Gurugram, Haryana, India Job Description Work as ...",Cloud computingServer monitoringFTPNetworkingDNSSSHSupport servicesHTTP,0,0
Power BI - Executive,Mumbai,ZECRUITERS SEARCH  RESOURCERS LLP,Not disclosed,3-8 Yrs, 3+ years experience as a Business Intelligence developer using the Microsoft Power BI p...,Cloud computingPublishingMySQLStored proceduresBusiness intelligencemicrosoftInformation technologyUser acceptance testing,0,0
Principal Cloud Security Architect,sirsa,DXC Technology,Not disclosed,10-15 Yrs, Principal Cloud Security Architect This vacancy is for a Principal Cloud Security Profe...,ArchitectVMwareCloud computingJSPInformation securityNetwork securitymicrosoftSCM,0,0
Senior Engineer 1,Bengaluru,JCPenny,Not disclosed,7-12 Yrs, Define the technical roadmap Lead the team?s technical direction by exploring and imple...,UnixCloud computingNoSQLLinuxcassandraSocial mediaShell scriptingDebugging,0,0
Staff Engineer - DevTest,"Bengaluru, Chandigarh","Zscaler, Inc.",Not disclosed,3-6 Yrs, Responsibilities/What You ll Do: Participate in product development early-on during the...,UnixCloud computingAutomationShell scriptingPerlHTTPWindowsSQL,0,0
Senior Technical Content Developer,Bengaluru,VMware India,Not disclosed,6-11 Yrs," This position is responsible for developing, delivering and maintaining technical cours...",UnixCloud computingAutomationCcieLinuxNetworkingConsultingHTTP,0,0
Cloud Architect,Gurgaon,ORANGE BUSINESS SERVICES INDIA SOLUTIONS Pvt. Ltd.,Not disclosed,5-10 Yrs, Exp- 6-10yrs Location- Gurgaon Job Description- * Experience in one or more Cloud platf...,kubernetespythonopenshiftvmwareIAAScicddockersecurity,1,0
